varname;varlabel;newvarname;newvalue;country;filename;phase;startyear;endyear
h32a;fever/cough: government hosp.;opd;7;rwanda;RWKR53FL.DTA;3;2005;2005
h32b;fever/cough: govt health cntr;govcntr;5;rwanda;RWKR53FL.DTA;3;2005;2005
h32c;na - fever/cough: govt health post;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32d;na - fever/cough: mobile clinic;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32e;fever/cough: comm.health wrkr;chw;3;rwanda;RWKR53FL.DTA;3;2005;2005
h32f;na - fever/cough: cs public sector;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32g;na - fever/cough: cs public sector;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32h;na - fever/cough: cs public sector;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32i;fever/cough: oth public sector;hcnobeds;4;rwanda;RWKR53FL.DTA;3;2005;2005
h32j;fever/cough: private hosp/clin;hcbeds;6;rwanda;RWKR53FL.DTA;3;2005;2005
h32k;fever/cough: private pharmacy;self;2;rwanda;RWKR53FL.DTA;3;2005;2005
h32l;fever/cough: private doctor;hcnobeds;4;rwanda;RWKR53FL.DTA;3;2005;2005
h32m;fever/cough: private mobile cl;hcnobeds;4;rwanda;RWKR53FL.DTA;3;2005;2005
h32n;fever/cough: comm.health wrkr;chw;3;rwanda;RWKR53FL.DTA;3;2005;2005
h32o;fever/cough: arbef clinic - cs;hcbeds;6;rwanda;RWKR53FL.DTA;3;2005;2005
h32p;fever/cough: private nursery - cs;hcbeds;6;rwanda;RWKR53FL.DTA;3;2005;2005
h32q;na - fever/cough: cs med.priv sect;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32r;fever/cough: oth med.priv sect;hcbeds;6;rwanda;RWKR53FL.DTA;3;2005;2005
h32s;fever/cough: shop;self;2;rwanda;RWKR53FL.DTA;3;2005;2005
h32t;fever/cough: traditional pract;none;1;rwanda;RWKR53FL.DTA;3;2005;2005
h32u;na - fever/cough: cs oth.priv sect;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32v;na - fever/cough: cs oth.priv sect;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32w;na - fever/cough: cs oth.priv sect;NA;NA;rwanda;RWKR53FL.DTA;3;2005;2005
h32x;fever/cough: other;none;1;rwanda;RWKR53FL.DTA;3;2005;2005
